kifi_id;name;krjkde
84874;Lumon kirjasto;v45
84873;Koivukylän kirjasto;v40
84833;Kalajärven kirjasto;e97
84922;Tikkurilan kirjasto;v30
84872;Hiekkaharjun kirjasto;v37
84882;Pointin kirjasto;v51
84876;Martinlaakson kirjasto;v62
84881;Suutarilan kirjasto;h74
84869;Hakunilan kirjasto;v20
84845;Tapulikaupungin kirjasto;h75
84853;Puistolan kirjasto;h76
84776;Tapanilan kirjasto;h73
84920;Myyrmäen kirjasto;v60
84877;Pähkinärinteen kirjasto;v68
84854;Jakomäen kirjasto;h77
84794;Laaksolahden kirjasto;e73
84852;Paloheinän kirjasto;h67
84858;Pukinmäen kirjasto;h72
84859;Malmin kirjasto;h70
84866;Malminkartanon kirjasto;h41
84875;Länsimäen kirjasto;v28
84847;Kannelmäen kirjasto;h42
84863;Kontulan kirjasto;h94
84789;Karhusuon kirjasto;e81
84879;Pohjois-Haagan kirjasto;h40
84795;Viherlaakson kirjasto;e71
84857;Maunulan kirjasto;h63
84865;Pitäjänmäen kirjasto;h37
84862;Oulunkylän kirjasto;h64
84919;Viikin kirjasto;h71
84883;Myllypuron mediakirjasto;h92
84925;Sellon kirjasto;e01
84779;Kauniaisten kirjasto;k01
84878;Etelä-Haagan kirjasto;h32
84861;Käpylän kirjasto;h61
84927;Itäkeskuksen kirjasto;h90
84787;Entressen kirjasto;e76
84921;Arabianrannan kirjasto;h56
84793;Laajalahden kirjasto;e14
84911;Herttoniemen kirjasto;h80
84880;Vuosaaren kirjasto;h98
84924;Pasilan kirjasto;h01
84867;Munkkiniemen kirjasto;h33
84790;Kauklahden kirjasto;e78
86407;Opinmäki / AKKU;e25
84870;Vallilan kirjasto;h55
84868;Roihuvuoren kirjasto;h82
84851;Töölön kirjasto;h25
84860;Kallion kirjasto;h53
84850;Tapiolan kirjasto;e10
84848;Laajasalon kirjasto;h84
84917;Saunalahden kirjasto;e33
86476;Kirjasto Oodi;h00
84915;Nöykkiön kirjasto;e30
84928;Kirjasto 10;h10
84834;Ison Omenan kirjasto;e23
84912;Rikhardinkadun kirjasto;h13
84918;Haukilahden kirjasto;e17
86406;Jätkäsaaren kirjasto ja infokeskus;h18
84914;Kivenlahden kirjasto;e32
84864;Lauttasaaren kirjasto;h20
84871;Suomenlinnan kirjasto;h19
84916;Soukan kirjasto;e36
